,u_in,u_out,vy_in,r_in,xg_in,yg_in,theta_in,t,vy_out,r_out,xg_out,yg_out,theta_out
5775,-0.09087169714774163,-0.0906900100951551,1.5961033834415057,-0.0680401515768185,-30.176610659379826,1294.208202409063,1.1660615134365346,57.75,1.5945089970574249,-0.06792459706782913,-30.073046448716994,1294.490211190352,1.1653816894142308
5776,-0.0906900100951551,-0.09050737391181903,1.5945089970574249,-0.06792459706782913,-30.073046448716994,1294.490211190352,1.1653816894142308,57.76,1.5929024778105605,-0.06780824427114586,-29.969276003172332,1294.7721432433752,1.1647030248913273
5777,-0.09050737391181903,-0.09032378763892666,1.5929024778105605,-0.06780824427114586,-29.969276003172332,1294.7721432433752,1.1647030248913273,57.77,1.591283760236471,-0.06769108789925915,-29.865299595176996,1295.053998490785,1.1640255278677112
5778,-0.09032378763892666,-0.09013925031767081,1.591283760236471,-0.06769108789925915,-29.865299595176996,1295.053998490785,1.1640255278677112,57.78,1.5896527783697532,-0.06757312262469367,-29.76111749873043,1295.3357768563205,1.163349206395155
5779,-0.09013925031767081,-0.08995376098924435,1.5896527783697532,-0.06757312262469367,-29.76111749873043,1295.3357768563205,1.163349206395155,57.79,1.5880094657414883,-0.06745434307978339,-29.656729989406436,1295.6174782648134,1.1626740685776384
5780,-0.08995376098924435,-0.08976731869484052,1.5880094657414883,-0.06745434307978339,-29.656729989406436,1295.6174782648134,1.1626740685776384,57.800000000000004,1.5863537553766855,-0.06733474385644642,-29.55213734435915,1295.899102642193,1.1620001225716734
5781,-0.08976731869484052,-0.08957992247565211,1.5863537553766855,-0.06733474385644642,-29.55213734435915,1295.899102642193,1.1620001225716734,57.81,1.5846855789817675,-0.06721431944748589,-29.44733984544555,1296.180649917948,1.1613273767163683
5782,-0.08957992247565211,-0.08939157137287214,1.5846855789817675,-0.06721431944748589,-29.44733984544555,1296.180649917948,1.1613273767163683,57.82,1.5830048667939538,-0.06709306423567572,-29.342337779801525,1296.4621200255797,1.1606558395574718
5783,-0.08939157137287214,-0.08920226442769344,1.5830048667939538,-0.06709306423567572,-29.342337779801525,1296.4621200255797,1.1606558395574718,57.83,1.581311552012626,-0.06697097281363802,-29.237131422782994,1296.7435128891786,1.1599855191374122
5784,-0.08920226442769344,-0.08901200068130921,1.581311552012626,-0.06697097281363802,-29.237131422782994,1296.7435128891786,1.1599855191374122,57.84,1.5796055655011423,-0.06684803960130543,-29.1317210583528,1297.0248284394702,1.1593164238439404
5785,-0.08901200068130921,-0.08882077917491231,1.5796055655011423,-0.06684803960130543,-29.1317210583528,1297.0248284394702,1.1593164238439404,57.85,1.5778868375962911,-0.06672425897651219,-29.026106972112338,1297.306066608334,1.158648562120177
5786,-0.08882077917491231,-0.08862859894969559,1.5778868375962911,-0.06672425897651219,-29.026106972112338,1297.306066608334,1.158648562120177,57.86,1.5761552981055071,-0.06659962527475266,-28.92028945130846,1297.5872273288103,1.1579819424649718
